e1754b27-4859-494f-99c7-02648c7883ab_1,[ERROR] COMPILATION ERROR : 
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[2,37] package org.apache.poi.xssf.usermodel does not exist"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[3,38] package org.springframework.stereotype does not exist"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[5,2] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[9,13] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[11,12] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[1,1] package org.apache.poi.ss.usermodel does not exist"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[8,6] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[12,9] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[12,14] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[14,9] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[14,33] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[15,9] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[16,9] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[21,13] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[26,14] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[27,13] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:compile (default-compile) on project Study: Compilation failure: Compilation failure: 
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[2,37] package org.apache.poi.xssf.usermodel does not exist"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[3,38] package org.springframework.stereotype does not exist"
e1754b27-4859-494f-99c7-02648c7883ab_1,"[ERROR] /Users/lindsayroney/research/DevGPT-Study/Java_maven/e1754b27-4859-494f-99c7-02648c7883ab_1/src/main/java/MemberPaymentService.java:[5,2] cannot find symbol"
e1754b27-4859-494f-99c7-02648c7883ab_1,[ERROR]   symbol: class Service
